Year,TMP_Gitega,TMP_Airport
1981,32,32.4
1982,31.9,32.3
1983,31.5,32.2
1984,30.8,31.2
1985,30.9,29.8
1986,32.4,32.4
1987,31,32
1988,31,31.4
1989,30.7,31
1990,30.4,30.7
1991,31.4,31.1
1992,32,32.4
1993,30,29.8
1994,33.4,33.4
1995,33.4,33.3
1996,33.2,33.3
1997,33.4,33.3
1998,33.2,33.4
1999,33.4,33.4
2000,33.4,33.4
2001,33.1,33.2
2002,33.3,33.3
2003,32.9,33.1
2004,33,33.3
2005,32.4,32.6
2006,33.4,33.4
2007,33.4,33.1
2008,30.9,31.4
2009,31.8,31.7
2010,32.2,31.6
2011,30.6,30.9
2012,31.5,32.1
2013,30.5,31.6
2014,30.5,32.5
2015,32.3,32.1
2016,31.4,32.4
2017,31.7,32
